BOM_Flatburn_V6-05_11_2025,,,,,,,,,,,,,,
Item,Manufacturer,Manufacturer Part Number,ERP_MPN,Designator,Qty,Description,Package / Case,"SMD ,BGA,LLC(QFN),OR  TH",Top/Bottom,X-Ray,Polarity,NotesComments,CustomerComments,MaterialStatus
49,KEMET,C0402C103K5REC7411,C255-C0402C103K5REC7411,"C6, C14, C5",3,"10nF,50V,10%,X7R,0402",0402,SMD,T,,,,,
50,Vishay,SISS27DN-T1-GE3,C326-SISS27DN-T1-GE3,"Q7, Q10, Q11, Q9, Q8",5,"P-CH,30V,50A,PowerPAK® 1212-8S",PowerPAK® 1212-8S,SMD,T,Yes,Yes,,,
51,Vishay,SISH402DN-T1-GE3,,"Q2,Q3,Q4,Q5",4,MOSFET N-CH 30V 19A/35A PPAK,PowerPAK® 1212-8S,SMD,T,Yes,Yes,,,
52,Analog Devices,MAX5805BAUB+T,C206-MAX5805BAUB+T,U23,1,"MAX5805BAUB+T,10-uMAX/uSOP",10-uMAX/uSOP,SMD,T,,Yes,,,
53,Coilcraft,XGL4020-222MEC,C363-XGL4020-222MEC,L6,1,"2.2uH,20%,1616",1616,SMD,T,,,,,
54,KEMET,C0402C331K8RACTU,C255-C0402C331K8RACTU,"C9, C10",2,"330pF,10%,10V ,X7R , 0402",0402,SMD,T,,,,,
55,Yageo,RC0402FR-07255KL,C333-RC0402FR-07255KL,R21,1,"255K,1%,1/16W,0402",0402,SMD,T,,,,,
56,Bosch Sensortec,BME280,C336-BME280,U15,1,"BME280,8-LGA",8-LGA,BGA,T,Yes,Yes,,,
57,JST,B5B-ZR-SM4-TF,C253-B5B-ZR-SM4-TF,J6,1,"1*5Pins,,Pin Pitch 1.50mm,10.50mmL*5.00W*5.20mmH",10.50mmL*5.00W*5.20mmH,SMD,T,,,,,
58,Vishay,CRCW04025K23FKED,C326-CRCW04025K23FKED,R30,1,"5.23K,1%,1/16W,0402",0402,SMD,T,,,,,
59,Analog Devices,AD8541ARTZ-REEL,C206-AD8541ARTZ-REEL,"U25, U26, U10, U17, U24",5,"AD8541ARTZ-REEL,SOT-23-5",SOT-23-5,SMD,T,,Yes,,,
60,Samsung Electro-Mechanics,CL10A475KP8NNNC,C389-CL10A475KP8NNNC,"C21, C12, C163",3,"4.7uF,10V,10%,X5R,0603",0603,SMD,T,,,,,
61,Hirose Electric,DM3CS-SF,C241-DM3CS-SF,J10,1,"10Pins,microSD,90°",14.10mmL*13.80mmW*1.83mmH,SMD,T,,,,,
62,Wurth Electronics,61300211121,C330-61300211121,J8,1,"1*2Pins,Pin Pitch 2.54mm,180°",Pin Pitch 2.54mm,TH,T,,,,,
63,Texas Instruments,TPS25730DREFR,C319-TPS25730DREFR,U1,1,"TPS25730DREFR,38-WQFN",38-WQFN,LLC(QFN),T,,Yes,,,
64,Coilcraft,XGL4020-102MEC,C363-XGL4020-102MEC,"L5, L4",2,"1µH,±20%,12 A,1616",1616,SMD,T,,,,,
65,Yageo,RC0402FR-071KL,C333-RC0402FR-071KL,"R164, R199",2,"1K,1%,1/16W,0402",0402,SMD,T,,,,,
66,Yageo,RC0402FR-0733RL,C333-RC0402FR-0733RL,"R138, R141, R139, R137, R142, R140, R143",7,"33R,1%,1/16W,0402",0402,SMD,T,,,,,
67,Ignion,NN03-310,C4880-NN03-310,ANT1,1,"698MHz ~ 3.8GHz,2.4dBi,30.00mmL*3.0mmW*1.0mmT",30.00mmL*3.0mmW*1.0mmT,SMD,T,,Yes,,,
68,Texas Instruments,TVS2200DRVR,C319-TVS2200DRVR,TVS3,1,"TVS2200DRVR,6-WSON",6-WSON,SMD,T,,Yes,,,
69,Tensility International,54-00125,C728-54-00125,J2,1,"3Pins,9.00mmL*8.50mmW*5.50mmH",9.00mmL*8.50mmW*5.50mmH,TH,T,,,,,
70,Sullins Connector Solutions,SBH21-NBPN-D05-SM-BK,C313-SBH21-NBPN-D05-SM-BK,J5,1,"2*5Pins,Pin Pitch 2.0mm,90°",Pin Pitch 2.0mm,SMD,T,,Yes,,,
71,onsemi,1N4148WS,C285-1N4148WS,D1,1,"75V,300mA,SOD-323F",SOD-323F,SMD,T,,Yes,,,
72,TDK Corporation,SPM6550T-1R0M100A,C317-SPM6550T-1R0M100A,L3,1,"1.09uH,±20%,14.1A,2-SMD,7.10mmL*6.50mmW*5.00mmH",7.10mmL*6.50mmW*5.00mmH,SMD,T,,,,,
73,AVX Corporation,KGF31AR73A103KU,C210-KGF31AR73A103KU,C2,1,"10nF, ±10%,1kV,X7R,1206",1206,SMD,T,,,,,
74,Diodes Incorporated,BZT52C12T-7,C228-BZT52C12T-7,"DZ3, DZ2",2,"12 V,±5%,300 mW,SOD-523",SOD-523,SMD,T,,Yes,,,
75,Yageo,RC0402FR-07470RL,C333-RC0402FR-07470RL,R118,1,"470R,1%,1/16W,0402",0402,SMD,T,,,,,
76,Diodes Incorporated,BSS84WQ-7-F,C228-BSS84WQ-7-F,Q6,1,"50 V, 200mW,SOT-323",SOT-323,SMD,T,,,,,
77,Yageo,RL1206FR-070R016L,C333-RL1206FR-070R016L,"R38, R36, R39, R37",4,"16mOhms,±1% ,1/4W,1206",1206,SMD,T,,,,,
78,Soberton,ST-025BH,C707-ST-025BH,BUZ1,1,"3V,2.7kHz,7.50mmL*7.50mmW*2.80mmH",7.50mmL*7.50mmW*2.80mmH,SMD,T,,,,,
79,KEMET,C0402C102K5RECTU,C255-C0402C102K5RECTU,"C20, C114",2,"1000 pF ,±10%,50v,X7R,0402",0402,SMD,T,,,,,
80,Murata,LQW15AN4N6G80D,C275-LQW15AN4N6G80D,L15,1,"4.6 nH,±2%,1.45 A,0402",0402,SMD,T,,,,,
81,Texas Instruments,TPS552872RYQR,C319-TPS552872RYQR,"U6, U5",2,"TPS552872RYQR,21-VQFN-HR（3x5）",21-VQFN-HR,LLC(QFN),T,Yes,Yes,,,
82,JST,B2B-PH-K-S(LF)(SN),C253-B2B-PH-K-S(LF)(SN),J1,1,"1*2Pins,Pin Pitch 2.00mm,180°",Pin Pitch 2.00mm,TH,T,,Yes,,,
83,Qualcomm,B39162B9416K610S 5,C4061-B39162B9416K610S 5,U13,1,"1.575GHz,5-SMD,1.40mmL*1.10mmW*0.40mmH",",1.40mmL*1.10mmW*0.40mmH",SMD,T,,,,,
84,Diodes Incorporated,D3V3F8U9LP3810-7,C228-D3V3F8U9LP3810-7,TVS23,1,"3.3V,32W,U-DFN3810-9",U-DFN3810-9,SMD,T,,,,,
85,Murata,GCM1555C1H100JA16D,C275-GCM1555C1H100JA16D,C36,1,"10pF,50V,5%,C0G,0402",0402,SMD,T,,,,,
86,Wurth Electronics,885012205047,C330-885012205047,C78,1,"3.3nF,25V,10%,X7R,0402",0402,SMD,T,,,,,
87,TE Connectivity,1571634-2,C324-1571634-2,"PB1, PB2, PB3",3,"SPST-NO,0.05A @ 24VDC,6.20mmL* 6.20mmW*5.00mmH",6.20mmL* 6.20mmW*5.00mmH,SMD,T,,,,,
88,Murata,LQW15AN7N1G80D,C275-LQW15AN7N1G80D,L14,1,"7.1 nH,±2%,1.42 A,0402",0402,SMD,T,,,,,
89,KEMET,C0603C180J5GAC7411,C255-C0603C180J5GAC7411,"C170, C169",2,"18pF,±5%,50V,C0G,0603",0603,SMD,T,,,,,
90,Littelfuse,01543.15DR,C263-01543.15DR,F1,1,"125V,3.15A,SMD,9.70mmL*5.00mmW​",9.70mmL*5.00mmW​,SMD,T,,,,,
91,Yageo,RC1206FR-071ML,C333-RC1206FR-071ML,R3,1,"1M,1%,1/4W,1206",1206,SMD,T,,,,,
92,Nichicon,GXC1H470MCQ1GS,C279-GXC1H470MCQ1GS,C13,1,"47 µF,±20%,50 V,8.00mmD*10.80mmH",8.00mmD*10.80mmH,SMD,T,,Yes,,,
93,Texas Instruments,TLC59711PWPR,C319-TLC59711PWPR,U9,1,"TLC59711PWPR,20-HTSSOP",20-HTSSOP,SMD,T,,Yes,,,
94,Murata,GJM1555C1HR50WB01D,C275-GJM1555C1HR50WB01D,C108,1,"0.5pF,50V,±0.05pF,C0G,0402",0402,SMD,T,,,,,
95,Murata,GRM188R6YA475KE15D,C275-GRM188R6YA475KE15D,C7,1,"4.7uF,35V,10%,X5R,0603",0603,SMD,T,,,,,
96,Vishay,CRCW0603294RFKEA,C326-CRCW0603294RFKEA,"R20, R25",2,"294R,±1%,1/8W,0603",0603,SMD,T,,,,,
97,TE Connectivity,CRGCQ0402F1M0,C324-CRGCQ0402F1M0,"R195, R189",2,"1M,1%,1/16W,0402",0402,SMD,T,,,,,
98,Bourns,CFN0603-FZ-R020ELF,C213-CFN0603-FZ-R020ELF,R59,1,"20 mR,±1%,1/2W ,0603",0603,SMD,T,,,,,
99,Inolux(台湾),IN-S63ASR,C1299-IN-S63ASR,LD1,1,"Red,2.2V,150mcd,0603",0603,SMD,T,,Yes,,,
100,Vishay,CRCW0402560RFKED,C326-CRCW0402560RFKED,R23,1,"560R,1%,1/16W,0402",0402,SMD,T,,,,,
101,Texas Instruments,ADS1256IDBR,C319-ADS1256IDBR,U33,1,"ADS1256IDBR,28-SSOP",28-SSOP,SMD,T,,Yes,,,
102,Wurth Electronics,9774025151R,C330-9774025151R,OBJ1,1,"M2.5*0.45,5.10mmD*3.91mmH",5.10mmD*3.91mmH,SMD,T,,,,,
103,Yageo,PE0603FRF7T0R05L,C333-PE0603FRF7T0R05L,R58,1,"50mR,±1%,1/3W,0603,",0603,SMD,T,,,,,
104,Infineon Technologies,BGA725L6E6327FTSA1,C245-BGA725L6E6327FTSA1,U12,1,"BGA725L6E6327FTSA1,TSLP-6-2",TSLP-6-2,SMD,T,,Yes,,,
105,KOA Speer,RN73H1ETTP3122D25,C373-RN73H1ETTP3122D25,R67,1,"31.2K,0.5%,1/16W,0402",0402,SMD,T,,,,,
106,Amphenol,MDT420E01001,C205-MDT420E01001,J9,1,"MDT420E01001,67Pins,Pin Pitch 5.00mm",Pin Pitch 5.00mm,SMD,T,,,,,
107,Yageo,RC0402FR-079K31L,C333-RC0402FR-079K31L,"R77, R75",2,"9.31K,1%,1/16W,0402",0402,SMD,T,,,,,
108,U-blox,NEO-M8U-06B,C4578-NEO-M8U-06B,MOD1,1,"NEO-M8U-06B,24-SMD Module",24-SMD Module,SMD,T,,Yes,,,
109,Texas Instruments,TPS62142RGTT,C319-TPS62142RGTT,U7,1,"TPS62142RGTT,16-QFN",16-QFN,LLC(QFN),T,Yes,Yes,,,
110,Yageo,RT0603FRE07390RL,C333-RT0603FRE07390RL,R191,1,"390R,1%,1/10W,0603",0603,SMD,T,,,,,
111,Texas Instruments,ESD321DPYR,C319-ESD321DPYR,"TVS6, TVS7",2,"3.6V,40W,0402",0402,SMD,T,,Yes,,,
112,JST,BM04B-SRSS-TB,C253-BM04B-SRSS-TB,J7,1,"1*4Pins,Pin Pitch 1.00mm,90°",Pin Pitch 1.00mm,SMD,T,,,,,
113,Murata,GJM1555C1HR30WB01D,C275-GJM1555C1HR30WB01D,C109,1,"0.3pF,50V,0.05pF,C0G,0402",0402,SMD,T,,,,,
114,Murata,LQW18AN9N9G80D,C275-LQW18AN9N9G80D,L11,1,"9.9 nH,±2%,1.6 A,0603",0603,SMD,T,,,,,
115,Kionix,KXTJ3-1057,C811-KXTJ3-1057,U16,1,"800Hz,1.71V-3.6V,12-LGA",12-LGA,LLC(QFN),T,Yes,Yes,,,
116,Renesas Electronics,ISL28022FUZ,C297-ISL28022FUZ,"U3, U4",2,"ISL28022FUZ,10-MSOP",10-MSOP,SMD,T,,Yes,,,
117,KEMET,C0603C331J3HACAUTO,C255-C0603C331J3HACAUTO,C58,1,"330pF,±5%,25V, X8R,0603",0603,SMD,T,,,,,
118,Nxp Semiconductors,"BAT54J,115","C283-BAT54J,115",DS1,1,"30V,200mA,SOD-323F",SOD-323F,SMD,T,,Yes,,,
119,AVX Corporation,0603YC223J4T2A,C210-0603YC223J4T2A,C59,1,"0.022 µF,±5%,16V,X7R,0603",0603,SMD,T,,,,,
120,Murata,LQW18AN10NG80D,C275-LQW18AN10NG80D,L12,1,"10 nH,±2%,1.6 A,0603",0603,SMD,T,,,,,
121,Murata,LQW18AN15NG80D,C275-LQW18AN15NG80D,L10,1,"15nH,1.4A,4.6GHz,0603",0603,SMD,T,,,,,
122,Texas Instruments,TPS3823-33DBVR,C319-TPS3823-33DBVR,U8,1,"TPS3823-33DBVR,SOT-23-5",SOT-23-5,SMD,T,,,,,
123,AVX Corporation,0603YD226MAT2A,C210-0603YD226MAT2A,"C80, C165",2,"22uF,16V,X5R,20%,0603",0603,SMD,T,,,,,
124,Murata,LQW15AN1N3C80D,C275-LQW15AN1N3C80D,L8,1,"1.3nH,3.15 A,0.2nH,18GHz,0402",0402,SMD,T,,,,,
125,Murata,GJM1555C1HR40WB01D,C275-GJM1555C1HR40WB01D,C107,1,"0.4pF,50V,±0.05pF,C0G,0402",0402,SMD,T,,,,,
126,Yageo,RT0402DRD079K88L,C333-RT0402DRD079K88L,R144,1,"9.88 k,±0.5% ,1/16W, 0402",0402,SMD,T,,,,,
127,TE Connectivity,3-1879337-2,C324-3-1879337-2,R69,1,"5.23,±1%,1/16W,0603",0603,SMD,T,,,,,
128,Murata,LQW15AN2N3G8ZD,C275-LQW15AN2N3G8ZD,L9,1,"2.3nH,±2%,2.53 A,0402",0402,SMD,T,,,,,
129,Texas Instruments,REF5025AIDR,C319-REF5025AIDR,U32,1,"REF5025AIDR,SOIC-8",SOIC-8,SMD,T,,Yes,,,
130,Murata,LQW15AN7N5H00D,C275-LQW15AN7N5H00D,L13,1,"7.5 nH,±3%,570 mA,0402",0402,SMD,T,,,,,
